Transription Units,TU BNum,TU EcoCycID,First Gene,Last Gene,TU Start,TU End,TU Length,TU RNA Deg Rate,Avg Deg Rate,Stdev Deg Rate
"[ybeD, dacA]","(b0631, b0632)","[EG11592, EG10201]",b0631,b0632,662379,663963,1584,"[210.0, 198.0]",204.0,6.0
[ybeD],"(b0631,)",[EG11592],b0631,b0631,662379,662642,263,[210.0],210.0,0.0
"[ybeD, dacA, rlpA]","(b0631, b0632, b0633)","[EG11592, EG10201, EG10854]",b0631,b0633,662379,665190,2811,"[210.0, 198.0, 174.0]",194.0,14.9666295471
"[dacA, rlpA]","(b0632, b0633)","[EG10201, EG10854]",b0632,b0633,662752,665190,2438,"[198.0, 174.0]",186.0,12.0
[dacA],"(b0632,)",[EG10201],b0632,b0632,662752,663963,1211,[198.0],198.0,0.0
"[rlpA, mrdB]","(b0633, b0634)","[EG10854, EG10607]",b0633,b0634,664102,666313,2211,"[174.0, 294.0]",234.0,60.0
[rlpA],"(b0633,)",[EG10854],b0633,b0633,664102,665190,1088,[174.0],174.0,0.0
"[mrdB, mrdA, rlmH, rsfS]","(b0634, b0635, b0636, b0637)","[EG10607, EG10606, EG11254, EG11255]",b0634,b0637,665201,669036,3835,"[294.0, 282.0, 252.0, 162.0]",247.5,51.6792995309
"[mrdB, mrdA]","(b0634, b0635)","[EG10607, EG10606]",b0634,b0635,665201,668217,3016,"[294.0, 282.0]",288.0,6.0
[mrdB],"(b0634,)",[EG10607],b0634,b0634,665201,666313,1112,[294.0],294.0,0.0
"[mrdA, rlmH, rsfS]","(b0635, b0636, b0637)","[EG10606, EG11254, EG11255]",b0635,b0637,666316,669036,2720,"[282.0, 252.0, 162.0]",232.0,50.9901951359
"[rlmH, rsfS, cobC, nadD]","(b0636, b0637, b0638, b0639)","[EG11254, EG11255, G6349, G6350]",b0636,b0639,668248,670572,2324,"[252.0, 162.0, 222.0, 144.0]",195.0,43.783558558
"[rlmH, rsfS]","(b0636, b0637)","[EG11254, EG11255]",b0636,b0637,668248,669036,788,"[252.0, 162.0]",207.0,45.0
[rsfS],"(b0637,)",[EG11255],b0637,b0637,668719,669036,317,[162.0],162.0,0.0
"[nadD, holA, lptE]","(b0639, b0640, b0641)","[G6350, EG11412, EG10855]",b0639,b0641,669931,672186,2255,"[144.0, 150.0, 156.0]",150.0,4.89897948557
"[nadD, holA]","(b0639, b0640)","[G6350, EG11412]",b0639,b0640,669931,671605,1674,"[144.0, 150.0]",147.0,3.0
[nadD],"(b0639,)",[G6350],b0639,b0639,669931,670572,641,[144.0],144.0,0.0
"[holA, lptE, leuS]","(b0640, b0641, b0642)","[EG11412, EG10855, EG10532]",b0640,b0642,670574,674783,4209,"[150.0, 156.0, 126.0]",144.0,12.9614813968
"[holA, lptE]","(b0640, b0641)","[EG11412, EG10855]",b0640,b0641,670574,672186,1612,"[150.0, 156.0]",153.0,3.0
"[lptE, leuS]","(b0641, b0642)","[EG10855, EG10532]",b0641,b0642,671605,674783,3178,"[156.0, 126.0]",141.0,15.0
[lptE],"(b0641,)",[EG10855],b0641,b0641,671605,672186,581,[156.0],156.0,0.0
[leuS],"(b0642,)",[EG10532],b0642,b0642,672201,674783,2582,[126.0],126.0,0.0
[ybeL],"(b0643,)",[EG12851],b0643,b0643,675018,675500,482,[222.0],222.0,0.0
[ybeU],"(b0648,)",[G6355],b0648,b0648,679508,680215,707,[462.0],462.0,0.0
[djlC],"(b0649,)",[G6356],b0649,b0649,680212,681663,1451,[606.0],606.0,0.0
"[hscC, rihA]","(b0650, b0651)","[G6357, G6358]",b0650,b0651,681723,684412,2689,"[420.0, 264.0]",342.0,78.0
[rihA],"(b0651,)",[G6358],b0651,b0651,683477,684412,935,[264.0],264.0,0.0
"[gltL, gltK, gltJ, gltI]","(b0652, b0653, b0654, b0655)","[EG12663, EG12662, EG12661, G6359]",b0652,b0655,684530,687747,3217,"[468.0, 366.0, 426.0, 344.82]",401.205,48.7212076513
[gltL],"(b0652,)",[EG12663],b0652,b0652,684530,685255,725,[468.0],468.0,0.0
"[gltK, gltJ, gltI]","(b0653, b0654, b0655)","[EG12662, EG12661, G6359]",b0653,b0655,685255,687747,2492,"[366.0, 426.0, 344.82]",378.94,34.3814950228
"[gltJ, gltI]","(b0654, b0655)","[EG12661, G6359]",b0654,b0655,685929,687747,1818,"[426.0, 344.82]",385.41,40.59
[gltJ],"(b0654,)",[EG12661],b0654,b0654,685929,686669,740,[426.0],426.0,0.0
[gltI],"(b0655,)",[G6359],b0655,b0655,686839,687747,908,[344.82],344.82,0.0
"[gltI, insH1]","(b0655, b0656)","[G6359, G6360]",b0655,b0656,686839,689013,2174,"[344.82, 882.0]",613.41,268.59
[lnt],"(b0657,)",[EG10168],b0657,b0657,689343,690881,1538,[344.82],344.82,0.0
"[lnt, ybeX]","(b0657, b0658)","[EG10168, G6361]",b0657,b0658,689343,691784,2441,"[344.82, 120.0]",232.41,112.41
"[lnt, ybeX, ybeY]","(b0657, b0658, b0659)","[EG10168, G6361, G6362]",b0657,b0659,689343,692341,2998,"[344.82, 120.0, 240.0]",234.94,91.8520941514
"[lnt, ybeX, ybeY, ybeZ]","(b0657, b0658, b0659, b0660)","[EG10168, G6361, G6362, G6363]",b0657,b0660,689343,693378,4035,"[344.82, 120.0, 240.0, 344.82]",262.41,92.6898489588
"[ybeX, ybeY, ybeZ, miaB]","(b0658, b0659, b0660, b0661)","[G6361, G6362, G6363, G6364]",b0658,b0661,690906,694955,4049,"[120.0, 240.0, 344.82, 336.0]",260.205,90.7885789899
"[ybeX, ybeY, ybeZ]","(b0658, b0659, b0660)","[G6361, G6362, G6363]",b0658,b0660,690906,693378,2472,"[120.0, 240.0, 344.82]",234.94,91.8520941514
[ybeX],"(b0658,)",[G6361],b0658,b0658,690906,691784,878,[120.0],120.0,0.0
"[ybeX, ybeY]","(b0658, b0659)","[G6361, G6362]",b0658,b0659,690906,692341,1435,"[120.0, 240.0]",180.0,60.0
"[ybeY, ybeZ]","(b0659, b0660)","[G6362, G6363]",b0659,b0660,691874,693378,1504,"[240.0, 344.82]",292.41,52.41
[ybeY],"(b0659,)",[G6362],b0659,b0659,691874,692341,467,[240.0],240.0,0.0
"[ybeY, ybeZ, miaB]","(b0659, b0660, b0661)","[G6362, G6363, G6364]",b0659,b0661,691874,694955,3081,"[240.0, 344.82, 336.0]",306.94,47.4704876739
[ybeZ],"(b0660,)",[G6363],b0660,b0660,692338,693378,1040,[344.82],344.82,0.0
"[ybeZ, miaB]","(b0660, b0661)","[G6363, G6364]",b0660,b0661,692338,694955,2617,"[344.82, 336.0]",340.41,4.41
[miaB],"(b0661,)",[G6364],b0661,b0661,693531,694955,1424,[336.0],336.0,0.0
"[ubiF, glnX]","(b0662, b0664)","[G6365, EG30031]",b0662,b0664,695101,696504,1403,"[252.0, 172800.0]",86526.0,86274.0
"[ubiF, glnX, glnV, metU, glnW]","(b0662, b0664, b0665, b0666, b0668)","[G6365, EG30031, EG30029, EG30059, EG30030]",b0662,b0668,695101,696830,1729,"[252.0, 172800.0, 172800.0, 172800.0, 172800.0]",138290.4,69019.2
"[ubiF, glnX, glnV, metU, glnW, glnU, leuW, metT]","(b0662, b0664, b0665, b0666, b0668, b0670, b0672, b0673)","[G6365, EG30031, EG30029, EG30059, EG30030, EG30028, EG30052, EG30058]",b0662,b0673,695101,697133,2032,"[252.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",151231.5,57064.8871527
[ubiF],"(b0662,)",[G6365],b0662,b0662,695101,696276,1175,[252.0],252.0,0.0
"[glnX, glnV, metU, glnW, glnU, leuW, metT]","(b0664, b0665, b0666, b0668, b0670, b0672, b0673)","[EG30031, EG30029, EG30059, EG30030, EG30028, EG30052, EG30058]",b0664,b0673,696430,697133,703,"[172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",172800.0,0.0
"[glnV, metU, glnW, glnU, leuW]","(b0665, b0666, b0668, b0670, b0672)","[EG30029, EG30059, EG30030, EG30028, EG30052]",b0665,b0672,696542,697047,505,"[172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",172800.0,0.0
"[glnW, glnU, leuW, metT, asnB]","(b0668, b0670, b0672, b0673, b0674)","[EG30030, EG30028, EG30052, EG30058, EG10092]",b0668,b0674,696756,699177,2421,"[172800.0, 172800.0, 172800.0, 172800.0, 192.0]",138278.4,69043.2
"[glnU, leuW, metT]","(b0670, b0672, b0673)","[EG30028, EG30052, EG30058]",b0670,b0673,696865,697133,268,"[172800.0, 172800.0, 172800.0]",172800.0,0.0
"[glnU, leuW, metT, asnB]","(b0670, b0672, b0673, b0674)","[EG30028, EG30052, EG30058, EG10092]",b0670,b0674,696865,699177,2312,"[172800.0, 172800.0, 172800.0, 192.0]",129648.0,74741.4564482
"[leuW, metT]","(b0672, b0673)","[EG30052, EG30058]",b0672,b0673,696963,697133,170,"[172800.0, 172800.0]",172800.0,0.0
"[leuW, metT, asnB]","(b0672, b0673, b0674)","[EG30052, EG30058, EG10092]",b0672,b0674,696963,699177,2214,"[172800.0, 172800.0, 192.0]",115264.0,81368.1915247
[metT],"(b0673,)",[EG30058],b0673,b0673,697057,697133,76,[172800.0],172800.0,0.0
"[metT, asnB]","(b0673, b0674)","[EG30058, EG10092]",b0673,b0674,697057,699177,2120,"[172800.0, 192.0]",86496.0,86304.0
[asnB],"(b0674,)",[EG10092],b0674,b0674,697513,699177,1664,[192.0],192.0,0.0
[umpH],"(b0675,)",[EG10634],b0675,b0675,699574,700326,752,[234.0],234.0,0.0
"[umpH, nagC, nagA, nagB]","(b0675, b0676, b0677, b0678)","[EG10634, EG10636, EG10632, EG10633]",b0675,b0678,699574,703611,4037,"[234.0, 144.0, 372.0, 618.0]",342.0,178.846302729
"[umpH, nagC]","(b0675, b0676)","[EG10634, EG10636]",b0675,b0676,699574,701594,2020,"[234.0, 144.0]",189.0,45.0
"[nagC, nagA, nagB]","(b0676, b0677, b0678)","[EG10636, EG10632, EG10633]",b0676,b0678,700374,703611,3237,"[144.0, 372.0, 618.0]",378.0,193.556193391
[nagC],"(b0676,)",[EG10636],b0676,b0676,700374,701594,1220,[144.0],144.0,0.0
"[nagC, nagA]","(b0676, b0677)","[EG10636, EG10632]",b0676,b0677,700374,702751,2377,"[144.0, 372.0]",258.0,114.0
[nagA],"(b0677,)",[EG10632],b0677,b0677,701603,702751,1148,[372.0],372.0,0.0
"[nagA, nagB]","(b0677, b0678)","[EG10632, EG10633]",b0677,b0678,701603,703611,2008,"[372.0, 618.0]",495.0,123.0
[nagB],"(b0678,)",[EG10633],b0678,b0678,702811,703611,800,[618.0],618.0,0.0
[nagE],"(b0679,)",[EG10635],b0679,b0679,703944,705890,1946,[552.0],552.0,0.0
[glnS],"(b0680,)",[EG10390],b0680,b0680,706093,707757,1664,[144.0],144.0,0.0
[chiP],"(b0681,)",[G6370],b0681,b0681,708334,709740,1406,[344.82],344.82,0.0
"[fur, uof, fldA, ybfE]","(b0683, b4637, b0684, b0685)","[EG10359, G0-10580, EG10318, EG11775]",b0683,b0685,710200,711898,1698,"[144.0, 344.82, 162.0, 264.0]",228.705,81.1679190013
[fur],"(b0683,)",[EG10359],b0683,b0683,710200,710646,446,[144.0],144.0,0.0
"[fur, uof]","(b0683, b4637)","[EG10359, G0-10580]",b0683,b4637,710200,710725,525,"[144.0, 344.82]",244.41,100.41
"[fur, uof, fldA]","(b0683, b4637, b0684)","[EG10359, G0-10580, EG10318]",b0683,b0684,710200,711465,1265,"[144.0, 344.82, 162.0]",216.94,90.7229144153
[uof],"(b4637,)",[G0-10580],b4637,b4637,710639,710725,86,[344.82],344.82,0.0
"[uof, fldA]","(b4637, b0684)","[G0-10580, EG10318]",b4637,b0684,710639,711465,826,"[344.82, 162.0]",253.41,91.41
"[uof, fldA, ybfE]","(b4637, b0684, b0685)","[G0-10580, EG10318, EG11775]",b4637,b0685,710639,711898,1259,"[344.82, 162.0, 264.0]",256.94,74.8027218756
"[fldA, ybfE, ybfF]","(b0684, b0685, b0686)","[EG10318, EG11775, EG11776]",b0684,b0686,710935,712802,1867,"[162.0, 264.0, 180.0]",202.0,44.4522215418
[fldA],"(b0684,)",[EG10318],b0684,b0684,710935,711465,530,[162.0],162.0,0.0
"[fldA, ybfE]","(b0684, b0685)","[EG10318, EG11775]",b0684,b0685,710935,711898,963,"[162.0, 264.0]",213.0,51.0
[ybfE],"(b0685,)",[EG11775],b0685,b0685,711605,711898,293,[264.0],264.0,0.0
"[ybfE, ybfF]","(b0685, b0686)","[EG11775, EG11776]",b0685,b0686,711605,712802,1197,"[264.0, 180.0]",222.0,42.0
[ybfF],"(b0686,)",[EG11776],b0686,b0686,712038,712802,764,[180.0],180.0,0.0
"[seqA, pgm, ybfP]","(b0687, b0688, b0689)","[EG12197, EG12144, G6374]",b0687,b0689,712987,715906,2919,"[150.0, 300.0, 360.0]",270.0,88.3176086633
[seqA],"(b0687,)",[EG12197],b0687,b0687,712987,713532,545,[150.0],150.0,0.0
"[seqA, pgm]","(b0687, b0688)","[EG12197, EG12144]",b0687,b0688,712987,715198,2211,"[150.0, 300.0]",225.0,75.0
[pgm],"(b0688,)",[EG12144],b0688,b0688,713558,715198,1640,[300.0],300.0,0.0
"[ybfI, potE]","(b4636, b0692)","[, EG10753]",b4636,b0692,716721,718265,1544,[330.0],330.0,0.0
[potE],"(b0692,)",[EG10753],b0692,b0692,716946,718265,1319,[330.0],330.0,0.0
[speF],"(b0693,)",[EG10964],b0693,b0693,718262,720460,2198,[474.0],474.0,0.0
"[kdpE, kdpD]","(b0694, b0695)","[EG10517, EG10516]",b0694,b0695,721056,724414,3358,"[408.0, 360.0]",384.0,24.0
[kdpE],"(b0694,)",[EG10517],b0694,b0694,721056,721733,677,[408.0],408.0,0.0
[kdpD],"(b0695,)",[EG10516],b0695,b0695,721730,724414,2684,[360.0],360.0,0.0
[kdpC],"(b0696,)",[EG10515],b0696,b0696,724407,724979,572,[612.0],612.0,0.0
"[kdpA, kdpF]","(b0698, b4513)","[EG10513, G0-10439]",b0698,b4513,727059,728821,1762,"[540.0, 344.82]",442.41,97.59
[kdpF],"(b4513,)",[G0-10439],b4513,b4513,728732,728821,89,[344.82],344.82,0.0
[ybfA],"(b0699,)",[EG11521],b0699,b0699,729134,729340,206,[372.0],372.0,0.0
[ybgA],"(b0707,)",[EG11108],b0707,b0707,739001,739510,509,[228.0],228.0,0.0
"[ybgA, phr]","(b0707, b0708)","[EG11108, EG10736]",b0707,b0708,739001,740925,1924,"[228.0, 300.0]",264.0,36.0
[phr],"(b0708,)",[EG10736],b0708,b0708,739507,740925,1418,[300.0],300.0,0.0
[dtpD],"(b0709,)",[G6378],b0709,b0709,741075,742556,1481,[846.0],846.0,0.0
[ybgI],"(b0710,)",[G6379],b0710,b0710,742827,743570,743,[210.0],210.0,0.0
"[ybgI, ybgJ]","(b0710, b0711)","[G6379, G6380]",b0710,b0711,742827,744249,1422,"[210.0, 222.0]",216.0,6.0
"[ybgI, ybgJ, ybgK, ybgL, nei]","(b0710, b0711, b0712, b0713, b0714)","[G6379, G6380, G6381, G6382, G6383]",b0710,b0714,742827,746726,3899,"[210.0, 222.0, 180.0, 288.0, 216.0]",223.2,35.4761891978
"[ybgI, ybgJ, ybgK, ybgL]","(b0710, b0711, b0712, b0713)","[G6379, G6380, G6381, G6382]",b0710,b0713,742827,745899,3072,"[210.0, 222.0, 180.0, 288.0]",225.0,39.4588393139
"[ybgI, ybgJ, ybgK]","(b0710, b0711, b0712)","[G6379, G6380, G6381]",b0710,b0712,742827,745175,2348,"[210.0, 222.0, 180.0]",204.0,17.6635217327
"[ybgJ, ybgK]","(b0711, b0712)","[G6380, G6381]",b0711,b0712,743593,745175,1582,"[222.0, 180.0]",201.0,21.0
"[ybgJ, ybgK, ybgL]","(b0711, b0712, b0713)","[G6380, G6381, G6382]",b0711,b0713,743593,745899,2306,"[222.0, 180.0, 288.0]",230.0,44.4522215418
"[ybgJ, ybgK, ybgL, nei]","(b0711, b0712, b0713, b0714)","[G6380, G6381, G6382, G6383]",b0711,b0714,743593,746726,3133,"[222.0, 180.0, 288.0, 216.0]",226.5,38.9711431703
[ybgJ],"(b0711,)",[G6380],b0711,b0711,743593,744249,656,[222.0],222.0,0.0
[ybgK],"(b0712,)",[G6381],b0712,b0712,744243,745175,932,[180.0],180.0,0.0
"[ybgK, ybgL, nei]","(b0712, b0713, b0714)","[G6381, G6382, G6383]",b0712,b0714,744243,746726,2483,"[180.0, 288.0, 216.0]",228.0,44.8998886413
"[ybgK, ybgL]","(b0712, b0713)","[G6381, G6382]",b0712,b0713,744243,745899,1656,"[180.0, 288.0]",234.0,54.0
[ybgL],"(b0713,)",[G6382],b0713,b0713,745165,745899,734,[288.0],288.0,0.0
"[ybgL, nei]","(b0713, b0714)","[G6382, G6383]",b0713,b0714,745165,746726,1561,"[288.0, 216.0]",252.0,36.0
[nei],"(b0714,)",[G6383],b0714,b0714,745935,746726,791,[216.0],216.0,0.0
[abrB],"(b0715,)",[G6384],b0715,b0715,746723,747769,1046,[372.0],372.0,0.0
[gltA],"(b0720,)",[EG10402],b0720,b0720,753185,754468,1283,[138.0],138.0,0.0
[sdhC],"(b0721,)",[EG10933],b0721,b0721,755177,755566,389,[348.0],348.0,0.0
"[sdhC, sdhD, sdhA, sdhB]","(b0721, b0722, b0723, b0724)","[EG10933, EG10934, EG10931, EG10932]",b0721,b0724,755177,758405,3228,"[348.0, 366.0, 282.0, 384.0]",345.0,38.535697736
"[sdhC, sdhD, sdhA]","(b0721, b0722, b0723)","[EG10933, EG10934, EG10931]",b0721,b0723,755177,757673,2496,"[348.0, 366.0, 282.0]",332.0,36.1109401705
"[sdhC, sdhD]","(b0721, b0722)","[EG10933, EG10934]",b0721,b0722,755177,755907,730,"[348.0, 366.0]",357.0,9.0
"[sdhD, sdhA, sdhB]","(b0722, b0723, b0724)","[EG10934, EG10931, EG10932]",b0722,b0724,755560,758405,2845,"[366.0, 282.0, 384.0]",344.0,44.4522215418
"[sdhD, sdhA]","(b0722, b0723)","[EG10934, EG10931]",b0722,b0723,755560,757673,2113,"[366.0, 282.0]",324.0,42.0
[sdhD],"(b0722,)",[EG10934],b0722,b0722,755560,755907,347,[366.0],366.0,0.0
"[sdhA, sdhB]","(b0723, b0724)","[EG10931, EG10932]",b0723,b0724,755907,758405,2498,"[282.0, 384.0]",333.0,51.0
[sdhA],"(b0723,)",[EG10931],b0723,b0723,755907,757673,1766,[282.0],282.0,0.0
[sdhB],"(b0724,)",[EG10932],b0724,b0724,757689,758405,716,[384.0],384.0,0.0
[sucA],"(b0726,)",[EG10979],b0726,b0726,758706,761507,2801,[344.82],344.82,0.0
"[sucA, sucB]","(b0726, b0727)","[EG10979, EG10980]",b0726,b0727,758706,762739,4033,"[344.82, 1050.0]",697.41,352.59
"[sucB, sucC, sucD]","(b0727, b0728, b0729)","[EG10980, EG10981, EG10982]",b0727,b0729,761522,765049,3527,"[1050.0, 344.82, 344.82]",579.88,332.425039971
[sucB],"(b0727,)",[EG10980],b0727,b0727,761522,762739,1217,[1050.0],1050.0,0.0
"[sucB, sucC]","(b0727, b0728)","[EG10980, EG10981]",b0727,b0728,761522,764180,2658,"[1050.0, 344.82]",697.41,352.59
"[sucC, sucD]","(b0728, b0729)","[EG10981, EG10982]",b0728,b0729,763014,765049,2035,"[344.82, 344.82]",344.82,0.0
[sucC],"(b0728,)",[EG10981],b0728,b0728,763014,764180,1166,[344.82],344.82,0.0
[sucD],"(b0729,)",[EG10982],b0729,b0729,764180,765049,869,[344.82],344.82,0.0
[mngR],"(b0730,)",[EG11109],b0730,b0730,765153,765875,722,[246.0],246.0,0.0
"[cydA, cydB]","(b0733, b0734)","[EG10173, EG10174]",b0733,b0734,771458,774181,2723,"[222.0, 234.0]",228.0,6.0
"[cydA, cydB, cydX, ybgE]","(b0733, b0734, b4515, b0735)","[EG10173, EG10174, G0-10441, EG12395]",b0733,b0735,771458,774602,3144,"[222.0, 234.0, 344.82, 438.0]",309.705,88.1987589198
"[cydA, cydB, cydX, ybgE, ybgC]","(b0733, b0734, b4515, b0735, b0736)","[EG10173, EG10174, G0-10441, EG12395, EG11110]",b0733,b0736,771458,775156,3698,"[222.0, 234.0, 344.82, 438.0, 150.0]",277.764,101.50924482
[cydA],"(b0733,)",[EG10173],b0733,b0733,771458,773026,1568,[222.0],222.0,0.0
"[cydA, cydB, cydX]","(b0733, b0734, b4515)","[EG10173, EG10174, G0-10441]",b0733,b4515,771458,774309,2851,"[222.0, 234.0, 344.82]",266.94,55.286953253
"[cydB, cydX, ybgE]","(b0734, b4515, b0735)","[EG10174, G0-10441, EG12395]",b0734,b0735,773042,774602,1560,"[234.0, 344.82, 438.0]",338.94,83.3863729874
"[cydB, cydX]","(b0734, b4515)","[EG10174, G0-10441]",b0734,b4515,773042,774309,1267,"[234.0, 344.82]",289.41,55.41
[cydX],"(b4515,)",[G0-10441],b4515,b4515,774196,774309,113,[344.82],344.82,0.0
"[cydX, ybgE]","(b4515, b0735)","[G0-10441, EG12395]",b4515,b0735,774196,774602,406,"[344.82, 438.0]",391.41,46.59
[ybgC],"(b0736,)",[EG11110],b0736,b0736,774752,775156,404,[150.0],150.0,0.0
"[ybgC, tolQ]","(b0736, b0737)","[EG11110, EG11010]",b0736,b0737,774752,775845,1093,"[150.0, 246.0]",198.0,48.0
"[ybgC, tolQ, tolR]","(b0736, b0737, b0738)","[EG11110, EG11010, EG11011]",b0736,b0738,774752,776277,1525,"[150.0, 246.0, 270.0]",222.0,51.8459255873
"[ybgC, tolQ, tolR, tolA]","(b0736, b0737, b0738, b0739)","[EG11110, EG11010, EG11011, EG11007]",b0736,b0739,774752,777607,2855,"[150.0, 246.0, 270.0, 174.0]",210.0,49.4772675074
"[ybgC, tolQ, tolR, tolA, tolB]","(b0736, b0737, b0738, b0739, b0740)","[EG11110, EG11010, EG11011, EG11007, EG11008]",b0736,b0740,774752,779032,4280,"[150.0, 246.0, 270.0, 174.0, 264.0]",220.8,49.2438828688
"[tolQ, tolR, tolA]","(b0737, b0738, b0739)","[EG11010, EG11011, EG11007]",b0737,b0739,775153,777607,2454,"[246.0, 270.0, 174.0]",230.0,40.7921561087
"[tolQ, tolR]","(b0737, b0738)","[EG11010, EG11011]",b0737,b0738,775153,776277,1124,"[246.0, 270.0]",258.0,12.0
[tolQ],"(b0737,)",[EG11010],b0737,b0737,775153,775845,692,[246.0],246.0,0.0
"[tolR, tolA]","(b0738, b0739)","[EG11011, EG11007]",b0738,b0739,775849,777607,1758,"[270.0, 174.0]",222.0,48.0
[tolR],"(b0738,)",[EG11011],b0738,b0738,775849,776277,428,[270.0],270.0,0.0
"[tolB, pal, ybgF, lysT, valT, lysW, valZ, lysY]","(b0740, b0741, b0742, b0743, b0744, b0745, b0746, b0747)","[EG11008, EG10684, EG12854, EG30055, EG30109, EG30057, G6389, G6390]",b0740,b0747,777740,781222,3482,"[264.0, 366.0, 186.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",108102.0,83524.7710383
"[tolB, pal, ybgF]","(b0740, b0741, b0742)","[EG11008, EG10684, EG12854]",b0740,b0742,777740,780389,2649,"[264.0, 366.0, 186.0]",272.0,73.7021030908
"[tolB, pal, ybgF, lysT]","(b0740, b0741, b0742, b0743)","[EG11008, EG10684, EG12854, EG30055]",b0740,b0743,777740,780629,2889,"[264.0, 366.0, 186.0, 172800.0]",43404.0,74706.8426986
"[tolB, pal]","(b0740, b0741)","[EG11008, EG10684]",b0740,b0741,777740,779588,1848,"[264.0, 366.0]",315.0,51.0
"[tolB, pal, ybgF, lysT, valT, lysW, valZ, lysY, lysZ, lysQ]","(b0740, b0741, b0742, b0743, b0744, b0745, b0746, b0747, b0748, b0749)","[EG11008, EG10684, EG12854, EG30055, EG30109, EG30057, G6389, G6390, G6391, G6392]",b0740,b0749,777740,781652,3912,"[264.0, 366.0, 186.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",121041.6,79062.2722557
"[tolB, pal, ybgF, lysT, valT]","(b0740, b0741, b0742, b0743, b0744)","[EG11008, EG10684, EG12854, EG30055, EG30109]",b0740,b0744,777740,780840,3100,"[264.0, 366.0, 186.0, 172800.0, 172800.0]",69283.2,84521.132549
"[tolB, pal, ybgF, lysT, valT, lysW]","(b0740, b0741, b0742, b0743, b0744, b0745)","[EG11008, EG10684, EG12854, EG30055, EG30109, EG30057]",b0740,b0745,777740,780918,3178,"[264.0, 366.0, 186.0, 172800.0, 172800.0, 172800.0]",86536.0,86264.0157424
"[tolB, pal, ybgF, lysT, valT, lysW, valZ]","(b0740, b0741, b0742, b0743, b0744, b0745, b0746)","[EG11008, EG10684, EG12854, EG30055, EG30109, EG30057, G6389]",b0740,b0746,777740,781143,3403,"[264.0, 366.0, 186.0, 172800.0, 172800.0, 172800.0, 172800.0]",98859.4285714,85379.2312699
[tolB],"(b0740,)",[EG11008],b0740,b0740,777740,779032,1292,[264.0],264.0,0.0
"[tolB, pal, ybgF, lysT, valT, lysW, valZ, lysY, lysZ]","(b0740, b0741, b0742, b0743, b0744, b0745, b0746, b0747, b0748)","[EG11008, EG10684, EG12854, EG30055, EG30109, EG30057, G6389, G6390, G6391]",b0740,b0748,777740,781444,3704,"[264.0, 366.0, 186.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",115290.666667,81330.4902946
"[pal, ybgF, lysT, valT, lysW, valZ, lysY, lysZ, lysQ]","(b0741, b0742, b0743, b0744, b0745, b0746, b0747, b0748, b0749)","[EG10684, EG12854, EG30055, EG30109, EG30057, G6389, G6390, G6391, G6392]",b0741,b0749,779067,781652,2585,"[366.0, 186.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",134461.333333,71725.0902141
"[pal, ybgF]","(b0741, b0742)","[EG10684, EG12854]",b0741,b0742,779067,780389,1322,"[366.0, 186.0]",276.0,90.0
"[pal, ybgF, lysT, valT, lysW, valZ, lysY]","(b0741, b0742, b0743, b0744, b0745, b0746, b0747)","[EG10684, EG12854, EG30055, EG30109, EG30057, G6389, G6390]",b0741,b0747,779067,781222,2155,"[366.0, 186.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",123507.428571,77938.4135673
"[pal, ybgF, lysT]","(b0741, b0742, b0743)","[EG10684, EG12854, EG30055]",b0741,b0743,779067,780629,1562,"[366.0, 186.0, 172800.0]",57784.0,81328.6267436
"[pal, ybgF, lysT, valT, lysW, valZ]","(b0741, b0742, b0743, b0744, b0745, b0746)","[EG10684, EG12854, EG30055, EG30109, EG30057, G6389]",b0741,b0746,779067,781143,2076,"[366.0, 186.0, 172800.0, 172800.0, 172800.0, 172800.0]",115292.0,81328.6101443
"[pal, ybgF, lysT, valT, lysW]","(b0741, b0742, b0743, b0744, b0745)","[EG10684, EG12854, EG30055, EG30109, EG30057]",b0741,b0745,779067,780918,1851,"[366.0, 186.0, 172800.0, 172800.0, 172800.0]",103790.4,84519.172844
"[pal, ybgF, lysT, valT]","(b0741, b0742, b0743, b0744)","[EG10684, EG12854, EG30055, EG30109]",b0741,b0744,779067,780840,1773,"[366.0, 186.0, 172800.0, 172800.0]",86538.0,86262.023475
[pal],"(b0741,)",[EG10684],b0741,b0741,779067,779588,521,[366.0],366.0,0.0
"[pal, ybgF, lysT, valT, lysW, valZ, lysY, lysZ]","(b0741, b0742, b0743, b0744, b0745, b0746, b0747, b0748)","[EG10684, EG12854, EG30055, EG30109, EG30057, G6389, G6390, G6391]",b0741,b0748,779067,781444,2377,"[366.0, 186.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0, 172800.0]",129669.0,74705.0969345
