	Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
False	EG10023	aceB	malate synthase A	characterized	characterized	0.000194839	1.00	0.843	0.246	0.275	N	N	u	malate synthase A	Enzyme; Central intermediary metabolism: Glyoxylate bypass	Malate synthase A; glyoxylate shunt enzyme	Met Orth 	glyoxylate cycle
True	EG10024	aceE	subunit of E1p component of pyruvate dehydrogenase complex	characterized	characterized	0.0001092804	1.00	0.834	0.353	0.27	N	N	u	pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding	Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement	Met Orth 	glyoxylate catabolic process
True	EG10025	aceF	AceF	characterized	characterized	5.03920518383E-05	1.00	0.771	0.091	0.296	E	N	u	pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2	Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase	Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement	Met Orth 	acetyl-CoA biosynthetic process from pyruvate
True	EG10027	ackA	acetate kinase	characterized	characterized	5.51272178928E-05	1.00	0.816	0.586	0.672	E	N	u	acetate kinase A and propionate kinase 2	Enzyme; Energy metabolism, carbon: Electron transport	Acetate kinase, produces acetyl phosphate; mutants are fluoroacetate resistant; creBC regulon; binds Zn(II)	Met Orth 	propionate biosynthetic process
False	EG10028	pflA	pyruvate formate-lyase activating enzyme	characterized	characterized	6.55934225371E-06	0.88	0.773	0.37	0.431	N	N	u	pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Pyruvate formate-lyase 1-activating enzyme; [formate-C-acetyltransferase 1]-activating enzyme; PFL activase	Met Orth 	N/A
True	EG10030	add	adenosine deaminase	characterized	characterized	7.33547646427E-06	0.91	0.76	0.241	0.234	N	N	u	adenosine deaminase	Enzyme; Salvage of nucleosides and nucleotides	Adenosine deaminase	Met Orth 	inosine biosynthetic process
True	EG10031	adhE	AdhE	characterized	characterized	0.0001063885	1.00	0.483	0.468	0.563	N	N	N	fused acetaldehyde-CoA dehydrogenase/iron-dependent alcohol dehydrogenase/pyruvate-formate lyase deactivase	Enzyme; Energy metabolism, carbon: Fermentation	Alcohol dehydrogenase, largely anaerobic; aerobic antioxidant; acetaldehyde-CoA dehydrogenase, CoA-linked; allyl alcohol resistance	Met Orth 	ethanol biosynthetic process
True	EG10032	adk	adenylate kinase	characterized	characterized	0.0001512112	1.00	N.A.	N.A.	N.A.	E	E	u	adenylate kinase	Enzyme; Purine ribonucleotide biosynthesis	Adenylate kinase; weak nucleoside diphosphate kinase activity; pleiotropic effects on glycerol-3-phosphate acyltransferase activity; monomeric	Met Orth 	ADP biosynthetic process
False	EG10033	agp	Agp	characterized	characterized	2.12276072305E-06	0.56	0.79	0.319	0.528	N	N	N	glucose-1-phosphatase/inositol phosphatase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Periplasmic glucose-1-phosphatase, acidic; has inositol phosphatase activity	Met Orth 	N/A
True	EG10034	alaS	alanyl-tRNA synthetase	characterized	characterized	0.000161319	1.00	0.538	0.314	0.307	E	E	u	alanyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Alanine--tRNA ligase, autorepressor	Met Orth 	alanyl-tRNA aminoacylation
True	EG10035	aldA	AldA	characterized	characterized	2.96918954785E-05	1.00	0.697	0.21	0.353	N	N	N	aldehyde dehydrogenase A, NAD-linked	Enzyme; Energy metabolism, carbon: Fermentation	Aldehyde dehydrogenase, NAD-dependent; active on lactaldehyde, glycolaldehyde, and other aldehydes	Met Orth 	D-arabinose catabolic process
True	EG10036	puuC	&gamma;-glutamyl-&gamma;-aminobutyraldehyde dehydrogenase	characterized	characterized	3.58563009771E-06	0.69	0.699	0.238	0.428	N	N	u	gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase	Enzyme; Degradation of small molecules: Carbon compounds	Gamma-glutamyl-gamma-aminobutyraldehyde dehydrogenase; succinate semialdehyde dehydrogenase; putrescine utilization pathway	Met Orth 	N/A
True	EG10039	amn	Amn	characterized	characterized	8.24316560636E-05	1.00	0.771	0.33	0.342	N	N	N	AMP nucleosidase	Enzyme; Salvage of nucleosides and nucleotides	AMP nucleosidase	Met Orth 	AMP salvage
False	EG10041	ampD	N-acetyl-anhydromuramyl-L-alanine-amidase	characterized	characterized	1.04885961302E-05	0.97	0.805	0.319	0.287	N	N	u	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	Regulator; Not classified	1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase	Met Orth 	N/A
True	EG10043	cysQ	adenosine-3(2),5-bisphosphate nucleotidase	characterized	characterized	9.35625924784E-06	0.97	0.678	0.424	0.436	N	N	N	3'(2'),5'-bisphosphate nucleotidase	Enzyme; Central intermediary metabolism: Sulfur metabolism	3'(2'),5'-bisphosphate nucleotidase; converts pAp to AMP; lithium- and calcium-inhbited; putative PAPS (adenosine 3'-phosphate 5'-phosphosulfate) 3'(2'),5'-bisphosphate nucleotidase	Met Orth 	phosphatidylinositol phosphorylation
True	EG10045	ansA	AnsA	characterized	characterized	2.56063620165E-05	1.00	0.744	0.301	0.336	N	N	N	cytoplasmic L-asparaginase 1	Enzyme; Degradation of small molecules: Amino acids	L-asparaginase 1, cytoplasmic, low affinity	Met Orth 	asparagine catabolic process via L-aspartate
True	EG10046	ansB	AnsB	characterized	characterized	1.01873941579E-06	0.25	0.594	0.306	0.287	E	N	N	periplasmic L-asparaginase 2	Enzyme; Degradation of small molecules: Amino acids	L-asparaginase 2, periplasmic, high affinity	Met Orth 	asparagine metabolic process
True	EG10048	apaH	diadenosine tetraphosphatase	characterized	characterized	1.08423364176E-05	0.97	0.504	0.297	0.35	N	N	u	diadenosine tetraphosphatase	Enzyme; Salvage of nucleosides and nucleotides	Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical	Met Orth 	N/A
True	EG10049	appA	AppA	characterized	characterized	1.43190769806E-06	0.41	0.737	0.244	0.15	N	N	u	phosphoanhydride phosphorylase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Acid phosphatase, pH 2.5, exopolyphosphatase; phytase	Met Orth 	cellular response to anoxia
True	EG10051	apt	adenine phosphoribosyltransferase	characterized	characterized	6.75858608888E-05	1.00	0.793	0.239	0.322	E	N	N	adenine phosphoribosyltransferase	Enzyme; Salvage of nucleosides and nucleotides	Adenine phosphoribosyltransferase; adenine salvage, AMP from PRPP + Ade	Met Orth 	adenine salvage
True	EG10052	araA	L-arabinose isomerase monomer	characterized	characterized	5.35624210057E-07	0.09	N.A.	N.A.	N.A.	N	N	u	L-arabinose isomerase	Enzyme; Degradation of small molecules: Carbon compounds	L-arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose	Met Orth 	L-arabinose catabolic process to xylulose 5-phosphate
True	EG10053	araB	L-ribulokinase monomer	characterized	characterized	1.46424987064E-07	0.03	N.A.	N.A.	N.A.	N	N	u	L-ribulokinase	Enzyme; Degradation of small molecules: Carbon compounds	Ribulokinase	Met Orth 	L-arabinose catabolic process to xylulose 5-phosphate
True	EG10055	araD	L-ribulose 5-phosphate 4-epimerase monomer	characterized	characterized	9.41582269277E-08	0.03	N.A.	N.A.	N.A.	N	N	u	L-ribulose-5-phosphate 4-epimerase	Enzyme; Degradation of small molecules: Carbon compounds	L-ribulose-5-phosphate 4-epimerase	Met Orth 	L-arabinose catabolic process to xylulose 5-phosphate
True	EG10056	araE	arabinose H<sup>+</sup> symporter	characterized	characterized	1.02777240782E-06	0.38	0.71	0.434	0.551	N	N	N	arabinose transporter	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Low-affinity L-arabinose transport; L-arabinose proton symport	Met Orth 	fucose transport
True	EG10057	araF	arabinose ABC transporter - periplasmic binding protein	characterized	characterized	7.27380814982E-07	0.19	0.892	0.348	0.387	E	N	N	L-arabinose ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter periplasmic binding protein	Met Orth 	L-arabinose transport
True	EG10058	araG	arabinose ABC transporter - ATP binding subunit	characterized	characterized	2.17068568425E-06	0.41	0.699	0.249	0.304	E	N	N	L-arabinose ABC transporter ATPase	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter ATPase	Met Orth 	L-arabinose transport
True	EG10059	araH	arabinose ABC transporter - membrane subunit	characterized	characterized	3.38414894452E-06	0.59	0.804	0.325	0.333	-	u	N	L-arabinose ABC transporter permease	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	L-arabinose ABC transporter permease	Met Orth 	arabinose transport
True	EG10063	argA	ArgA	characterized	characterized	2.25726393445E-05	1.00	0.767	0.01	0.034	N	N	N	amino acid N-acetyltransferase and inactive acetylglutamate kinase	Enzyme; Amino acid biosynthesis: Arginine	N-acetylglutamate synthase; first step in arginine biosynthesis; amino-acid acetyltransferase; L-glutamate N-acetyltransferase; growth on acetylornithine; feedback inhibited by L-arginine	Met Orth 	N/A
True	EG10064	argB	acetylglutamate kinase monomer	characterized	characterized	3.53590830015E-05	1.00	0.709	0.006	0.023	N	N	N	acetylglutamate kinase	Enzyme; Amino acid biosynthesis: Arginine	N-acetylglutamate kinase	Met Orth 	N/A
True	EG10065	argC	N-acetylglutamylphosphate reductase	characterized	characterized	2.13516081067E-05	1.00	0.803	0.008	0.018	E	N	N	N-acetyl-gamma-glutamylphosphate reductase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Arginine	N-acetyl-gamma-glutamyl-phosphate reductase	Met Orth 	N/A
True	EG10066	argD	ArgD	characterized	characterized	2.52297939943E-05	1.00	0.783	0.339	0.311	?	N	N	bifunctional acetylornithine aminotransferase and succinyldiaminopimelate aminotransferase	Enzyme; Amino acid biosynthesis: Arginine	Acetylornithine aminotransferase; succinyldiaminopimelate aminotransferase, PLP-dependent	Met Orth 	N/A
True	EG10067	argF	ArgF	characterized	characterized	4.6050251281E-05	1.00	0.757	0.277	0.241	N	N	u	ornithine carbamoyltransferase 2, chain F; CP4-6 prophage	Enzyme; Amino acid biosynthesis: Arginine; Phage or Prophage Related	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase; CP4-6 putative prophage remnant	Met Orth 	ornithine metabolic process
True	EG10068	argG	ArgG	characterized	characterized	8.29992008021E-05	1.00	0.698	0.006	0.009	N	N	N	argininosuccinate synthetase	Enzyme; Amino acid biosynthesis: Arginine	Argininosuccinate synthase	Met Orth 	N/A
True	EG10069	argI	ArgI	characterized	characterized	1.2173236914E-05	1.00	0.765	0.362	0.512	X	N	N	ornithine carbamoyltransferase 1	Enzyme; Amino acid biosynthesis: Arginine	Ornithine carbamoyltransferase; ornithine transcarbamylase; OTCase	Met Orth 	ornithine metabolic process
True	EG10071	argS	arginyl-tRNA synthetase	characterized	characterized	3.18961358413E-05	1.00	N.A.	N.A.	N.A.	E	E	u	arginyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Arginine--tRNA ligase	Met Orth 	arginyl-tRNA aminoacylation
True	EG10072	argT	lysine / arginine / ornithine ABC transporter - periplasmic binding protein	characterized	characterized	2.57406900677E-05	1.00	0.782	0.366	0.416	N	u	N	lysine/arginine/ornithine transporter subunit	Transport; Transport of small molecules: Amino acids, amines	Lys-, Arg-, and Orn-binding protein, periplasmic	Met Orth 	N/A
True	EG10073	aroA	3-phosphoshikimate-1-carboxyvinyltransferase	characterized	characterized	0.0002059837	1.00	0.394	0.004	0.001	N	N	N	5-enolpyruvylshikimate-3-phosphate synthetase	Enzyme; Amino acid biosynthesis: Chorismate	5-enolpyruvyl shikimate-3-phosphate synthase; ESPS synthase; 3-phosphoshikimate-1-carboxyvinyltransferase	Met Orth 	N/A
True	EG10074	aroB	3-dehydroquinate synthase	characterized	characterized	0.0001147859	1.00	0.499	0.01	0.032	N	N	N	3-dehydroquinate synthase	Enzyme; Amino acid biosynthesis: Chorismate	3-Dehydroquinate synthase	Met Orth 	N/A
True	EG10075	aroC	AroC	characterized	characterized	0.000069593	1.00	0.621	0.009	0.02	N	N	N	chorismate synthase	Enzyme; Amino acid biosynthesis: Chorismate	Chorismate synthase	Met Orth 	N/A
True	EG10076	aroD	AroD	characterized	characterized	9.14511779035E-06	0.97	0.607	0.301	0.317	N	N	N	3-dehydroquinate dehydratase	Enzyme; Amino acid biosynthesis: Chorismate	3-Dehydroquinate dehydratase	Met Orth 	N/A
True	EG10077	aroE	shikimate dehydrogenase	characterized	characterized	7.16258421525E-06	0.94	0.564	0.007	0.015	N	N	u	dehydroshikimate reductase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate 5-dehydrogenase	Met Orth 	shikimate metabolic process
True	EG10078	aroF	AroF	characterized	characterized	0.0003818824	1.00	0.729	0.347	0.441	N	N	N	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tyrosine-repressible	Enzyme; Amino acid biosynthesis: Tyrosine	3-deoxy-D-arabino-heptulosonate 7-phosphate (DAHP) synthase; tyrosine repressible; TyrR regulon	Met Orth 	N/A
True	EG10079	aroG	AroG	characterized	characterized	0.0003006691	1.00	0.467	0.34	0.488	N	N	u	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, phenylalanine repressible	Enzyme; Amino acid biosynthesis: Phenylalanine	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; phenylalanine repressible; TyrR regulon	Met Orth 	L-phenylalanine biosynthetic process
True	EG10080	aroH	AroH	characterized	characterized	4.44519163517E-05	1.00	0.7	0.352	0.448	E	N	N	3-deoxy-D-arabino-heptulosonate-7-phosphate synthase, tryptophan repressible	Enzyme; Amino acid biosynthesis: Tryptophan	3-deoxy-D-arabino-heptulosonate-7-phosphate (DAHP) synthase; tryptophan repressible	Met Orth 	tryptophan biosynthetic process
True	EG10081	aroK	shikimate kinase I	characterized	characterized	0.000069928	1.00	0.445	0.262	0.202	E	N	u	shikimate kinase I	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate kinase I; alkali-inducible	Met Orth 	N/A
True	EG10082	aroL	shikimate kinase II	characterized	characterized	0.0001356695	1.00	0.799	0.247	0.295	N	N	u	shikimate kinase II	Enzyme; Amino acid biosynthesis: Chorismate	Shikimate kinase II	Met Orth 	N/A
True	EG10084	aroP	aromatic amino acid H<sup>+</sup> symporter AroP	characterized	characterized	0.0001045359	1.00	0.806	0.398	0.64	N	N	u	aromatic amino acid transporter	Transport; Transport of small molecules: Amino acids, amines	General aromatic amino acid transport permease	Met Orth 	phenylalanine transport
False	EG10086	ascF	AscF	characterized	characterized	8.32699185284E-07	0.19	0.827	0.312	0.355	N	N	u	cellobiose/arbutin/salicin-specific PTS enzymes, IIB and IC components	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS system EIIBC enzyme, beta-glucoside phosphotransferase; paralogous to bglF; cryptic unless AscG is mutated	Met Orth 	N/A
True	EG10088	asd	Asd	characterized	characterized	0.0002504268	1.00	N.A.	N.A.	N.A.	E	N	u	aspartate-semialdehyde dehydrogenase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Lysine	Aspartate semialdehyde dehydrogenase	Met Orth 	homoserine biosynthetic process
True	EG10091	asnA	AsnA	characterized	characterized	6.57766665382E-06	0.91	0.726	0.331	0.401	N	N	N	asparagine synthetase A	Enzyme; Amino acid biosynthesis: Asparagine	Asparagine synthase A; aspartate-ammonia ligase	Met Orth 	asparagine biosynthetic process
True	EG10092	asnB	AsnB	characterized	characterized	3.42002768345E-05	1.00	0.746	0.344	0.386	N	N	u	asparagine synthetase B	Enzyme; Amino acid biosynthesis: Asparagine	Asparagine synthase B [glutamine-hydrolyzing]	Met Orth 	asparagine biosynthetic process
True	EG10094	asnS	asparaginyl-tRNA synthetase	characterized	characterized	0.0002928219	1.00	N.A.	N.A.	N.A.	E	E	u	asparaginyl tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Asparagine--tRNA ligase	Met Orth 	asparaginyl-tRNA aminoacylation
True	EG10095	aspA	AspA	characterized	characterized	5.77994557088E-06	0.91	0.36	0.266	0.331	N	N	N	aspartate ammonia-lyase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	L-aspartate ammonia-lyase; L-aspartase	Met Orth 	aspartate metabolic process
True	EG10096	aspC	AspC	characterized	characterized	0.000194078	1.00	0.614	0.285	0.251	N	N	N	aspartate aminotransferase, PLP-dependent	Enzyme; Amino acid biosynthesis: Aspartate	Aspartate aminotransferase, AspAT; kynurenine aminotransferase; glutamine transaminase K	Met Orth 	L-phenylalanine biosynthetic process from chorismate via phenylpyruvate
True	EG10097	aspS	aspartyl-tRNA synthetase	characterized	characterized	5.48807306691E-05	1.00	N.A.	N.A.	N.A.	E	E	u	aspartyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Aspartate--tRNA ligase	Met Orth 	aspartyl-tRNA aminoacylation
True	EG10098	atpA	ATP synthase F<sub>1</sub> complex - alpha subunit	characterized	characterized	0.0002562406	1.00	0.314	0.143	0.26	N	N	u	F1 sector of membrane-bound ATP synthase, alpha subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit alpha, membrane-bound, F1 sector	Met Orth 	ATP hydrolysis coupled proton transport
True	EG10099	atpB	ATP synthase F<sub>0</sub> complex - a subunit	characterized	characterized	0.0001516923	1.00	0.229	0.014	0.054	N	N	u	F0 sector of membrane-bound ATP synthase, subunit a	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit a, membrane-bound, F0 sector	Met Orth 	ATP synthesis coupled proton transport
True	EG10100	atpC	ATP synthase F1 complex - epsilon subunit	characterized	characterized	0.0001585853	1.00	0.127	0.038	0.044	E	N	N	F1 sector of membrane-bound ATP synthase, epsilon subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit epsilon, membrane-bound, F1 sector	Met Orth 	ATP synthesis coupled proton transport
True	EG10101	atpD	ATP synthase F<sub>1</sub> complex - beta subunit	characterized	characterized	0.0001868755	1.00	0.237	0.104	0.148	N	N	N	F1 sector of membrane-bound ATP synthase, beta subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit beta, membrane-bound, F1 sector	Met Orth 	ATP hydrolysis coupled proton transport
True	EG10102	atpE	AtpE	characterized	characterized	0.0003807236	1.00	0.233	0.016	0.192	N	N	N	F0 sector of membrane-bound ATP synthase, subunit c	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit c, membrane-bound, F0 sector; DCCD-binding	Met Orth 	ATP hydrolysis coupled proton transport
True	EG10103	atpF	ATP synthase F<sub>0</sub> complex - b subunit	characterized	characterized	0.0003498655	1.00	0.259	0.18	0.206	E	N	N	F0 sector of membrane-bound ATP synthase, subunit b	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit b, membrane-bound, F0 sector	Met Orth 	ATP synthesis coupled proton transport
True	EG10104	atpG	ATP synthase F<sub>1</sub> complex - gamma subunit	characterized	characterized	0.000119566	1.00	0.186	0.194	0.15	N	N	u	F1 sector of membrane-bound ATP synthase, gamma subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit gamma, membrane-bound, F1 sector	Met Orth 	ATP synthesis coupled proton transport
True	EG10105	atpH	ATP synthase F<sub>1</sub> complex - delta subunit	characterized	characterized	0.0001462494	1.00	0.315	0.196	0.28	X	N	u	F1 sector of membrane-bound ATP synthase, delta subunit	Enzyme; ATP-proton motive force interconversion	ATP synthase subunit delta, membrane-bound, F1 sector	Met Orth 	ATP synthesis coupled proton transport
False	EG10106	atpI	AtpI	characterized	characterized	6.67103531582E-05	1.00	0.784	0.295	0.297	N	N	u	ATP synthase, membrane-bound accessory factor	Enzyme; ATP-proton motive force interconversion	ATP synthase, membrane-bound accessory factor	Met Orth 	N/A
True	EG10107	avtA	valine-pyruvate aminotransferase	characterized	characterized	4.20428212713E-05	1.00	0.813	0.331	0.368	N	N	N	valine-pyruvate aminotransferase; transaminase C; alanine-valine transaminase	Enzyme; Amino acid biosynthesis: Alanine	Valine-pyruvate aminotransferase; transaminase C; alanine-valine transaminase	Met Orth 	D-alanine biosynthetic process
False	EG10108	bcp	thiol peroxidase	characterized	characterized	0.000330429	1.00	0.741	0.369	0.523	N	N	N	peroxiredoxin; thiol peroxidase, thioredoxin-dependent	Phenotype; Not classified	Peroxiredoxin, thioredoxin-dependent thiol peroxidase; peroxide hypersensitivity; Prx	Met Orth 	N/A
True	EG10109	betA	choline dehydrogenase	characterized	characterized	3.00694679061E-06	0.66	0.818	0.329	0.319	N	N	u	choline dehydrogenase, a flavoprotein	Enzyme; Osmotic adaptation	Choline dehydrogenase, oxygen-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline	Met Orth 	glycine betaine biosynthetic process from choline
True	EG10110	betB	BetB	characterized	characterized	6.13094220619E-06	0.78	0.773	0.404	0.249	N	N	u	betaine aldehyde dehydrogenase, NAD-dependent	Enzyme; Osmotic adaptation	Betaine aldehyde dehydrogenase, NAD-dependent; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline; tetrameric	Met Orth 	glycine betaine biosynthetic process from choline
True	EG10112	betT	choline H<sup>+</sup> symporter	characterized	characterized	1.56132494259E-06	0.44	0.82	0.206	0.403	N	N	u	choline transporter of high affinity	Transport; Transport of small molecules: Other	High-affinity choline transporter; BCCT family; bet genes confer protection against osmotic stress by making the osmoprotectant glycine betaine from choline	Met Orth 	glycine betaine biosynthetic process from choline
True	EG10115	bglF	BglF	characterized	characterized	3.16385189393E-06	0.69	0.709	0.333	0.422	N	N	u	fused beta-glucoside-specific PTS enzymes: IIA component/IIB component/IIC component	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS system EIIABC enzyme, beta-glucoside phosphotransferase; BglG kinase/dephosphorylase; membrane-bound protein; binds BglG	Met Orth 	N/A
True	EG10117	bioA	adenosylmethionine-8-amino-7-oxononanoate aminotransferase monomer	characterized	characterized	2.98524884393E-05	1.00	0.733	0.09	0.109	N	N	u	7,8-diaminopelargonic acid synthase, PLP-dependent	Enzyme; Biosynthesis of cofactors, carriers: Biotin	7,8-diaminopelargonic acid aminotransferase	Met Orth 	N/A
True	EG10118	bioB	biotin synthase monomer	characterized	characterized	4.59581918941E-05	1.00	0.861	0.049	0.055	N	N	u	biotin synthase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Biotin synthase; dethiobiotin to biotin pathway; iron-sulfur enzyme	Met Orth 	N/A
True	EG10119	bioC	malonyl-acp methyltransferase	characterized	characterized	2.24483900024E-05	1.00	0.802	0.044	0.065	N	N	u	malonyl-ACP O-methyltransferase, SAM-dependent	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Malonyl-ACP O-methyltransferase, SAM-dependent; biotin synthesis blocked prior to pimeloyl CoA formation	Met Orth 	N/A
True	EG10120	bioD	dethiobiotin synthetase monomer	characterized	characterized	3.18992201266E-05	1.00	0.792	0.037	0.038	N	N	u	dethiobiotin synthetase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Dethiobiotin synthase	Met Orth 	N/A
True	EG10121	bioF	8-amino-7-oxononanoate synthase monomer	characterized	characterized	2.24171772533E-05	1.00	0.789	0.025	0.065	N	N	u	8-amino-7-oxononanoate synthase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	7-keto-8-amino pelargonic acid synthase	Met Orth 	N/A
True	EG10122	bioH	pimeloyl-acp methyl ester esterase	characterized	characterized	3.59852707614E-06	0.69	0.839	0.04	0.035	N	N	N	pimeloyl-ACP methyl ester carboxylesterase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Pimeloyl-ACP methyl ester carboxylesterase; short acyl chain carboxylesterase, binds CoA; biotin synthesis blocked prior to pimeloyl CoA formation	Met Orth 	N/A
True	EG10124	bisC	biotin sulfoxide reductase	characterized	characterized	1.32576287682E-05	1.00	0.8	0.371	0.433	N	N	N	biotin sulfoxide reductase	Enzyme; Biosynthesis of cofactors, carriers: Biotin	Biotin sulfoxide and methionine (S) sulfoxide reductase; cytoplasmic	Met Orth 	N/A
False	EG10126	btuB	vitamin B12 / E colicin / bacteriophage BF23 outer membrane porin BtuB	characterized	characterized	1.34251358478E-05	0.97	0.613	0.267	0.253	N	N	u	vitamin B12/cobalamin outer membrane transporter	Membrane; Outer membrane constituents	Vitamin B12 outer membrane receptor; receptor for E colicins, phages BF23 and C1	Met Orth 	cobalamin transport
False	EG10127	btuC	vitamin B<sub>12</sub> ABC transporter - membrane subunit	characterized	characterized	2.68240589971E-06	0.69	0.767	0.427	0.424	N	N	N	vitamin B12 ABC transporter permease	Transport; Transport of small molecules: Other	Vitamin B12 ABC transporter permease	Met Orth 	cobalamin transport
False	EG10128	btuD	vitamin B<sub>12</sub> ABC transporter - ATP binding subunit	characterized	characterized	1.28265399333E-05	1.00	0.707	0.299	0.325	N	N	N	vitamin B12 ABC transporter ATPase	Transport; Transport of small molecules: Other	Vitamin B12 ABC transporter ATPase	Met Orth 	cobalamin transport
True	EG10129	btuE	thioredoxin/glutathione peroxidase	characterized	characterized	6.36012865152E-06	0.97	0.716	0.324	0.324	E	N	u	glutathione peroxidase	Transport; Transport of small molecules: Other	Glutathione peroxidase; non-specific peroxidase activity	Met Orth 	response to hydroperoxide
False	EG10130	btuR	cobinamide adenosyltransferase / cobalamin adenosyltransferase	characterized	characterized	1.38422893059E-05	0.97	0.856	0.358	0.399	E	N	N	cob(I)yrinic acid a,c-diamide adenosyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Cobalamin	Cobinamide adenosyltransferase	Met Orth 	aerobic cobalamin biosynthetic process
True	EG10131	cadA	CadA	characterized	characterized	4.681723253E-07	0.19	0.766	0.54	0.893	N	N	u	lysine decarboxylase, acid-inducible	Enzyme; Degradation of small molecules: Amino acids	Lysine decarboxylase, inducible; decameric	Met Orth 	lysine catabolic process
True	EG10132	cadB	cadaverine H<sup>+</sup> symporter / lysine cadaverine antiporter	characterized	characterized	8.73195422153E-08	0.03	0.646	0.311	0.355	N	N	N	putative lysine/cadaverine transporter	Transport; Transport of small molecules: Amino acids, amines	Lysine-cadaverine antiporter	Met Orth 	N/A
True	EG10134	carA	CarA	characterized	characterized	0.000119182	1.00	0.663	0.003	0.002	N	N	u	carbamoyl phosphate synthetase small subunit, glutamine amidotransferase	Enzyme; Pyrimidine ribonucleotide biosynthesis	Carbamoyl phosphate synthase, small subunit; glutamine-hydrolyzing, tetramer of heterodimers	Met Orth 	carbamoyl phosphate biosynthetic process
True	EG10135	carB	CarB	characterized	characterized	6.74174219311E-05	1.00	0.489	0	0	N	N	u	carbamoyl-phosphate synthase large subunit	Enzyme; Pyrimidine ribonucleotide biosynthesis	Carbamoyl phosphate synthase, ammonia, large subunit; tetramer of heterodimers	Met Orth 	'de novo' UMP biosynthetic process
True	EG10137	cdd	Cdd	characterized	characterized	2.73493355989E-06	0.75	0.752	0.38	0.436	N	N	N	cytidine/deoxycytidine deaminase	Enzyme; Salvage of nucleosides and nucleotides	Cytidine deaminase; 2-deoxycytidine deaminase; mutants are 5-fluorodeoxycytidine resistant; binds Zn(II)	Met Orth 	deoxycytidine catabolic process
