Genes.tsv					KB	Simulation	Essentiality						EcoGene			WCM curation	Gene Ontology
EG10647	narY	nitrate reductase Z	characterized	characterized	3.36353225701E-07	0.03	0.711	0.326	0.309	N	N	u	nitrate reductase 2 (NRZ), beta subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Nitrate reductase II (NRZ), beta subunit	Met Orth 	N/A
EG10648	narZ	nitrate reductase Z	characterized	characterized	4.87715898395E-07	0.25	0.704	0.277	0.373	N	N	N	nitrate reductase 2 (NRZ), alpha subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Nitrate reductase II (NRZ), alpha subunit	Met Orth 	N/A
EG10649	ndh	NADH ubiquinone oxidoreductase II	characterized	characterized	2.17444851224E-05	1.00	0.779	0.301	0.302	N	N	N	respiratory NADH dehydrogenase 2/cupric reductase	Enzyme; Energy metabolism, carbon: Aerobic respiration	Respiratory NADH dehydrogenase II; NADH:ubiquinone oxidoreductase II; membrane-bound flavoprotein; cupric reductase	Met Orth 	N/A
EG10650	ndk	Ndk	characterized	characterized	8.23881315614E-05	1.00	0.721	0.352	0.319	E	N	N	multifunctional nucleoside diphosphate kinase and apyrimidinic endonuclease and 3'-phosphodiesterase	Enzyme; Purine ribonucleotide biosynthesis	Nucleoside diphosphate kinase; NDP kinase	Met Orth 	nucleoside diphosphate phosphorylation
EG10652	nhaA	NhaA	characterized	characterized	0.000003171	0.72	0.485	0.287	0.331	N	N	u	sodium-proton antiporter	Transport; Transport of small molecules: Cations	Na+/H+ antiporter 1, strongly pH-dependent; helps regulate intracellular pH and extrude lithium; nhaA_P1 activated by NhaR, repressed by H-NS and stimulated by Na(+)	Met Orth 	cellular sodium ion homeostasis
EG10653	nirB	nitrite reductase	characterized	characterized	3.40650329666E-07	0.16	0.819	0.354	0.448	N	N	N	nitrite reductase, large subunit, NAD(P)H-binding	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Nitrite reductase [NAD(P)H] subunit	Met Orth 	N/A
EG10654	nirC	nitrite transporter NirC	characterized	characterized	7.6510976765E-07	0.34	0.789	0.278	0.32	X	N	u	nitrite transporter	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Nitrite uptake transporter; membrane protein	Met Orth 	nitrite transport
EG10655	nirD	nitrite reductase	characterized	characterized	0.0000002	0.13	0.811	0.35	0.402	N	N	u	nitrite reductase (NADH) small subunit	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Nitrite reductase, small subunit, NADH-binding	Met Orth 	N/A
EG10660	nrdA	ribonucleoside diphosphate reductase 1	characterized	characterized	5.0714902252E-05	1.00	N.A.	N.A.	N.A.	E	E	u	ribonucleoside-diphosphate reductase 1, alpha subunit	Enzyme; 2'-Deoxyribonucleotide metabolism	Ribonucleoside-diphosphate reductase 1, alpha subunit; class Ia aerobic ribonucleotide reductase; B1 protein, R1 subunit	Met Orth 	N/A
EG10661	nrdB	ribonucleoside diphosphate reductase 1	characterized	characterized	3.9004761018E-05	1.00	N.A.	N.A.	N.A.	E	E	u	ribonucleoside-diphosphate reductase 1, beta subunit, ferritin-like protein	Enzyme; 2'-Deoxyribonucleotide metabolism	Ribonucleoside-diphosphate reductase 1, beta subunit; class Ia aerobic ribonucleotide reductase; B2 protein, R2 subunit	Met Orth 	deoxyribonucleoside diphosphate metabolic process
EG10663	nadE	NadE	characterized	characterized	4.28180525298E-05	1.00	N.A.	N.A.	N.A.	E	E	u	NAD synthetase, NH3/glutamine-dependent	Enzyme; Biosynthesis of cofactors, carriers: Pyridine nucleotide	NAD synthase, ammonia dependent	Met Orth 	NAD salvage
EG10664	nupG	nucleoside H<sup>+</sup> symporter NupG	characterized	characterized	2.37275777242E-06	0.56	0.749	0.36	0.611	N	N	N	nucleoside transporter	Transport; Transport of small molecules: Nucleosides, purines, pyrimidines	Nucleoside transporter	Met Orth 	pyrimidine-containing compound transmembrane transport
EG10669	ompA	outer membrane protein 3a (II*;G;d)	characterized	characterized	0.0009102688	1.00	0.766	0.312	0.327	N	N	N	outer membrane protein A (3a;II*;G;d)	Membrane; Outer membrane constituents	Outer membrane protein A; Outer membrane porin A; T-even phage receptor; weak porin; homodimer, abundant cell surface protein	Met Orth 	detection of virus
EG10670	ompC	OmpC	characterized	characterized	0.0002487164	1.00	0.734	0.286	0.259	N	N	N	outer membrane porin protein C	Membrane; Outer membrane constituents	Outer membrane porin C	Met Orth 	N/A
EG10671	ompF	OmpF	characterized	characterized	0.0009510717	1.00	0.836	0.298	0.336	N	N	u	outer membrane porin 1a (Ia;b;F)	Membrane; Outer membrane constituents	Outer membrane porin F	Met Orth 	N/A
EG10674	oppA	peptide ABC transporter - periplasmic binding protein	characterized	characterized	0.0002921677	1.00	0.845	0.313	0.329	N	N	N	oligopeptide ABC transporter periplasmic binding protein	Transport; Not classified	Oligopeptide ABC transporter periplasmic binding protein	Met Orth 	N/A
EG10675	oppB	murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	characterized	characterized	7.44131497235E-05	1.00	0.71	0.352	0.375	N	N	u	oligopeptide ABC transporter permease	Transport; Not classified	Oligopeptide ABC transporter permease	Met Orth 	peptidoglycan-associated peptide transport
EG10676	oppC	murein tripeptide ABC transporter / peptide ABC transporter - putative membrane subunit	characterized	characterized	6.24306625574E-05	1.00	0.74	0.383	0.46	E	N	u	oligopeptide ABC transporter permease	Transport; Not classified	Oligopeptide ABC transporter permease	Met Orth 	peptidoglycan-associated peptide transport
EG10677	oppD	murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit	characterized	characterized	0.000069431	1.00	0.671	0.419	0.491	E	N	N	oligopeptide ABC transporter ATPase	Transport; Not classified	Oligopeptide ABC transporter ATPase	Met Orth 	peptidoglycan-associated peptide transport
EG10678	oppF	murein tripeptide ABC transporter / peptide ABC transporter - putative ATP binding subunit	characterized	characterized	6.46413754101E-05	1.00	0.776	0.258	0.308	N	N	N	oligopeptide ABC transporter ATPase	Putative transport; Not classified	Oligopeptide ABC transporter ATPase	Met Orth 	peptidoglycan-associated peptide transport
EG10682	pabA	PabA	characterized	characterized	3.10135356123E-06	0.69	0.816	0.061	0.093	N	N	u	aminodeoxychorismate synthase, subunit II	Enzyme; Biosynthesis of cofactors, carriers: Folic acid	Sulfonamide resistance; p-aminobenzoate biosynthesis	Met Orth 	N/A
EG10683	pabB	PabB	characterized	characterized	2.39681620526E-06	0.63	0.806	0.074	0.089	N	N	N	aminodeoxychorismate synthase, subunit I	Enzyme; Biosynthesis of cofactors, carriers: Folic acid	Sulfonamide resistance; p-aminobenzoate biosynthesis	Met Orth 	N/A
EG10685	panF	pantothenate Na<sup>+</sup> symporter	characterized	characterized	3.713571305E-06	0.81	0.878	0.305	0.402	N	N	N	pantothenate:sodium symporter	Transport; Transport of small molecules: Cations	Pantothenate permease	Met Orth 	pantothenate transmembrane transport
EG10688	pck	phosphoenolpyruvate carboxykinase (ATP)	characterized	characterized	1.67892600978E-05	1.00	0.722	0.366	0.379	N	N	N	phosphoenolpyruvate carboxykinase [ATP]	Enzyme; Central intermediary metabolism: Gluconeogenesis	Phosphoenolpyruvate carboxykinase [ATP]	Met Orth 	N/A
EG10691	pdxA	PdxA	characterized	characterized	2.9955666852E-05	1.00	0.709	0.008	0.006	N	N	u	4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent	Enzyme; Biosynthesis of cofactors, carriers: Pyridoxine	4-hydroxythreonine-4-phosphate dehydrogenase; fourth step in pyridoxal 5-phosphate biosynthesis; isoniazid resistance; requires divalent cations and NAD(P)+	Met Orth 	pyridoxal phosphate biosynthetic process
EG10693	pdxJ	PdxJ	characterized	characterized	2.83080867873E-05	1.00	0.788	0.017	0.146	E	N	u	pyridoxine 5'-phosphate synthase	Enzyme; Biosynthesis of cofactors, carriers: Pyridoxine	Pyridoxine 5'-phosphate (PNP) synthase; homo-octamer	Met Orth 	pyridoxine biosynthetic process
EG10694	pepA	aminopeptidase A/I	characterized	characterized	5.38474665085E-05	1.00	0.647	0.36	0.382	N	N	N	multifunctional aminopeptidase A: a cyteinylglycinase, transcription regulator and site-specific recombination factor	Enzyme; Degradation of proteins, peptides, glyco	Multifunctional Aminopeptidase A; transcriptional regulator of carAB; DNA-binding role in site-specific recombination mediating ColE1 plasmid multimer resolution; homohexameric	Met Orth 	peptide catabolic process
EG10695	pepD	peptidase D	characterized	characterized	6.00533252527E-05	1.00	0.816	0.283	0.349	N	N	u	aminoacyl-histidine dipeptidase (peptidase D)	Enzyme; Degradation of proteins, peptides, glyco	Peptidase D, Xaa-His dipeptidase	Met Orth 	peptide catabolic process
EG10696	pepN	aminopeptidase N	characterized	characterized	4.19289387688E-05	1.00	0.756	0.263	0.258	N	N	N	aminopeptidase N	Enzyme; Degradation of proteins, peptides, glyco	Aminopeptidase N	Met Orth 	N/A
EG10699	pfkA	6-phosphofructokinase-1 monomer	characterized	characterized	0.0001132785	1.00	0.858	0.087	0.554	X	N	N	6-phosphofructokinase I	Enzyme; Energy metabolism, carbon: Glycolysis	6-phosphofructokinase-1; allosteric: activated by MgNDPs, inhibited by PEP; homoterameric	Met Orth 	fructose 6-phosphate metabolic process
EG10700	pfkB	6-phosphofructokinase-2 monomer	characterized	characterized	2.37361715447E-06	0.47	0.856	0.27	0.258	N	N	N	6-phosphofructokinase II	Enzyme; Energy metabolism, carbon: Glycolysis	6-phosphofructokinase-2; homotetrameric; allosteric: inhibited by MgATP	Met Orth 	N/A
EG10701	pflB	PflB	characterized	characterized	0.000134588	1.00	0.817	0.359	0.378	N	N	u	formate C-acetyltransferase 1, anaerobic; pyruvate formate-lyase 1	Enzyme; Energy metabolism, carbon: Anaerobic respiration	Formate C-acetyltransferase 1; pyruvate formate-lyase 1; induced anaerobically; radical activated by PflA; deactivated by AdhE	Met Orth 	N/A
EG10702	pgi	Pgi	characterized	characterized	0.0001345142	1.00	0.639	0.137	0.542	N	N	N	glucosephosphate isomerase	Enzyme; Energy metabolism, carbon: Glycolysis	Glucose-6-phosphate isomerase	Met Orth 	N/A
EG10703	pgk	phosphoglycerate kinase	characterized	characterized	0.000303827	1.00	N.A.	N.A.	N.A.	E	N	N	phosphoglycerate kinase	Enzyme; Energy metabolism, carbon: Glycolysis	Phosphoglycerate kinase	Met Orth 	N/A
EG10704	pgpA	phosphatidylglycerophosphatase A	characterized	characterized	2.97802239906E-05	1.00	0.655	0.183	0.147	E	N	u	phosphatidylglycerophosphatase A	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylglycerophosphatase A, membrane bound	Met Orth 	phospholipid catabolic process
EG10705	pgpB	undecaprenyl pyrophosphate phosphatase multifunctional	characterized	characterized	3.8787208619E-06	0.69	0.791	0.269	0.293	N	N	u	phosphatidylglycerophosphatase B	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylglycerophosphatase B, membrane bound; minor undecaprenyl pyrophosphate phosphatase (UppP) activity	Met Orth 	phospholipid catabolic process
EG10706	pgsA	phosphatidylglycerophosphate synthase	characterized	characterized	1.0933553934E-05	0.97	N.A.	N.A.	N.A.	E	E	u	phosphatidylglycerophosphate synthetase	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylglycerophosphate synthase	Met Orth 	phosphatidylglycerol biosynthetic process
EG10707	pheA	PheA	characterized	characterized	0.0001099725	1.00	0.785	0.048	0.185	N	N	N	chorismate mutase and prephenate dehydratase, P-protein	Enzyme; Amino acid biosynthesis: Phenylalanine	Chorismate mutase and prephenate dehydratase, P-protein; phenylalanine synthesis; FPA resistance	Met Orth 	tyrosine biosynthetic process
EG10708	pheP	phenylalanine H<sup>+</sup> symporter PheP	characterized	characterized	4.78162837891E-06	0.78	0.778	0.208	0.115	N	N	u	phenylalanine transporter	Transport; Transport of small molecules: Amino acids, amines	Phenylalanine-specific permease	Met Orth 	L-phenylalanine biosynthetic process
EG10709	pheS	phenylalanyl-tRNA synthetase &alpha;-chain	characterized	characterized	8.25594401283E-05	1.00	N.A.	N.A.	N.A.	?	E	u	phenylalanine tRNA synthetase, alpha subunit	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Phenylalanine--tRNA ligase, alpha-subunit	Met Orth 	phenylalanyl-tRNA aminoacylation
EG10710	pheT	phenylalanyl-tRNA synthetase &beta;-chain	characterized	characterized	7.45201029584E-05	1.00	N.A.	N.A.	N.A.	?	E	u	phenylalanine tRNA synthetase, beta subunit	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Phenylalanine--tRNA ligase, beta-subunit	Met Orth 	phenylalanyl-tRNA aminoacylation
EG10723	phnN	ribose 1,5-bisphosphokinase	characterized	characterized	2.07448747587E-07	0.09	0.76	0.307	0.248	X	N	N	ribose 1,5-bisphosphokinase	Transport; Central intermediary metabolism: Phosphorus compounds	Carbon-phosphorus lyase complex, ribose 1,5-bisphosphokinase subunit; also functions in an alternative pathway for PRPP formation	Met Orth 	5-phosphoribose 1-diphosphate biosynthetic process
EG10727	phoA	PhoA	characterized	characterized	2.55366722891E-06	0.53	0.808	0.27	0.222	N	N	u	bacterial alkaline phosphatase	Enzyme; Central intermediary metabolism: Phosphorus compounds	Alkaline phosphatase, periplasmic; binds Zn(II); dimeric	Met Orth 	N/A
EG10729	phoE	PhoE	characterized	characterized	1.76192650331E-07	0.13	0.752	0.21	0.347	N	N	u	outer membrane phosphoporin protein E	Membrane; Outer membrane constituents	Outer membrane phosphoporin protein E; trimeric	Met Orth 	N/A
EG10734	pstS	phosphate ABC transporter - periplasmic binding protein	characterized	characterized	0.000012536	1.00	0.636	0.31	0.283	N	N	u	phosphate ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Anions	Phosphate ABC transporter periplasmic binding protein	Met Orth 	phosphate ion transmembrane transport
EG10738	pldA	PldA	characterized	characterized	1.50201153481E-05	0.97	0.812	0.304	0.234	N	N	N	outer membrane phospholipase A	Enzyme; Central intermediary metabolism: Phosphorus compounds	Outer-membrane phospholipase A; phospholipase A1; OmpLA	Met Orth 	N/A
EG10739	pldB	lysophospholipase L(2)	characterized	characterized	1.84042770276E-05	1.00	0.797	0.243	0.192	N	N	u	lysophospholipase L2	Enzyme; Central intermediary metabolism: Phosphorus compounds	Lysophospholipase L2	Met Orth 	phosphatidylglycerol biosynthetic process
EG10740	plsB	glycerol-3-phosphate acyltransferase	characterized	characterized	2.13797674905E-05	1.00	N.A.	N.A.	N.A.	X	E	N	glycerol-3-phosphate O-acyltransferase	Enzyme; Macromolecule synthesis, modification: Phospholipids	Glycerol-3-phosphate acyltransferase	Met Orth 	CDP-diacylglycerol biosynthetic process
EG10742	pncB	nicotinate phosphoribosyltransferase	characterized	characterized	9.77732472691E-05	1.00	0.673	0.226	0.25	N	N	N	nicotinate phosphoribosyltransferase	Enzyme; Biosynthesis of cofactors, carriers: Pyridine nucleotide	Nicotinate phosphoribosyltransferase	Met Orth 	nicotinate nucleotide biosynthetic process
EG10744	pntA	pyridine nucleotide transhydrogenase	characterized	characterized	0.0001379609	1.00	0.839	0.22	0.288	N	N	N	pyridine nucleotide transhydrogenase, alpha subunit	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Proton-translocating NAD(P) transhydrogenase, alpha subunit; membrane protein	Met Orth 	N/A
EG10745	pntB	pyridine nucleotide transhydrogenase	characterized	characterized	0.0001272602	1.00	0.776	0.317	0.513	N	N	N	pyridine nucleotide transhydrogenase, beta subunit	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Proton-translocating NAD(P) transhydrogenase, beta subunit; membrane protein	Met Orth 	N/A
EG10748	mrcA	peptidoglycan synthetase; penicillin-binding protein 1A	characterized	characterized	4.40208799854E-06	0.91	0.768	0.258	0.28	N	N	N	penicillin-binding protein 1a, murein transglycosylase and transpeptidase	Enzyme; Murein sacculus, peptidoglycan	Murein polymerase, PBP1A; bifunctional murein transglycosylase and transpeptidase; penicillin-binding protein 1A; dimeric	Met Orth 	negative regulation of cytolysis
EG10749	potA	putrescine / spermidine ABC transporter - ATP binding subunit	characterized	characterized	1.88793212109E-05	1.00	0.854	0.311	0.339	N	N	N	spermidine/putrescine ABC transporter ATPase	Transport; Transport of small molecules: Amino acids, amines	Spermidine/putrescine ABC transporter ATPase	Met Orth 	N/A
EG10750	potB	putrescine / spermidine ABC transporter - membrane subunit	characterized	characterized	6.3237320645E-06	0.94	0.86	0.401	0.455	N	N	u	spermidine/putrescine ABC transporter permease	Transport; Transport of small molecules: Amino acids, amines	Spermidine/putrescine ABC transporter permease	Met Orth 	N/A
EG10751	potC	putrescine / spermidine ABC transporter - membrane subunit	characterized	characterized	1.15746977518E-05	0.97	0.559	0.258	0.34	E	N	N	spermidine/putrescine ABC transporter permease	Transport; Transport of small molecules: Amino acids, amines	Spermidine/putrescine ABC transporter permease	Met Orth 	N/A
EG10752	potD	putrescine / spermidine ABC transporter - periplasmic binding protein	characterized	characterized	5.51435752943E-05	1.00	0.819	0.362	0.52	E	N	N	spermidine/putrescine ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Amino acids, amines	Spermidine/putrescine ABC transporter periplasmic binding protein	Met Orth 	N/A
EG10753	potE	putrescine H<sup>+</sup> symporter / putrescine ornithine antiporter PotE	characterized	characterized	8.40621943003E-07	0.22	0.8	0.227	0.282	N	N	u	putrescine/proton symporter: putrescine/ornithine antiporter	Transport; Transport of small molecules: Amino acids, amines	Putrescine-lyase antiporter	Met Orth 	N/A
EG10754	poxB	pyruvate oxidase monomer	characterized	characterized	1.90315900009E-05	1.00	0.86	0.359	0.327	N	N	u	pyruvate dehydrogenase, thiamine triphosphate-binding, FAD-binding	Enzyme; Degradation of small molecules: Carbon compounds	Pyruvate oxidase	Met Orth 	pyruvate catabolic process
EG10755	ppa	Ppa	characterized	characterized	0.000444471	1.00	N.A.	N.A.	N.A.	E	E	u	inorganic pyrophosphatase	Enzyme; Central intermediary metabolism: Pool, multipurpose conversions	Inorganic pyrophosphatase; binds Zn(II); homohexameric, dimer of trimers	Met Orth 	N/A
EG10756	ppc	Ppc	characterized	characterized	0.0002962045	1.00	0.895	0.003	0.001	N	N	u	phosphoenolpyruvate carboxylase	Enzyme; Energy metabolism, carbon: Fermentation	Phosphoenolpyruvate carboxylase; monomeric	Met Orth 	carbon fixation
EG10759	ppsA	phosphoenolpyruvate synthetase	characterized	characterized	3.24478116619E-05	1.00	1.13	0.316	0.336	?	N	N	phosphoenolpyruvate synthase	Enzyme; Central intermediary metabolism: Gluconeogenesis	Phosphoenolpyruvate synthase; PEP synthase	Met Orth 	N/A
EG10767	proA	ProA	characterized	characterized	5.09947695042E-05	1.00	0.811	0.007	0.011	N	N	N	gamma-glutamylphosphate reductase	Enzyme; Amino acid biosynthesis: Proline	Gamma-glutamyl phosphate reductase, proline biosynthesis	Met Orth 	L-proline biosynthetic process
EG10768	proB	ProB	characterized	characterized	4.0029653051E-05	1.00	0.804	0.003	0.003	N	N	u	gamma-glutamate kinase	Enzyme; Amino acid biosynthesis: Proline	Glutamate 5-kinase, proline biosynthesis; dimeric; feedback inhibition by proline	Met Orth 	L-proline biosynthetic process
EG10769	proC	pyrroline-5-carboxylate reductase monomer	characterized	characterized	0.000009779	0.97	0.752	0.002	0.001	E	N	u	pyrroline-5-carboxylate reductase, NAD(P)-binding	Enzyme; Amino acid biosynthesis: Proline	Pyrroline-5-carboxylate reductase, proline biosynthesis	Met Orth 	L-proline biosynthetic process
EG10770	proS	prolyl-tRNA synthetase	characterized	characterized	0.000098449	1.00	N.A.	N.A.	N.A.	E	E	u	prolyl-tRNA synthetase	Enzyme; Aminoacyl tRNA synthetases, tRNA modification	Proline--tRNA ligase	Met Orth 	prolyl-tRNA aminoacylation
EG10771	proV	glycine betaine / proline ABC transporter - ATP binding subunit	characterized	characterized	1.35492642569E-05	1.00	0.788	0.334	0.388	N	N	N	glycine betaine/proline ABC transporter periplasmic binding protein	Transport; Transport of small molecules: Amino acids, amines	Glycine betaine/proline ABC transporter periplasmic binding protein	Met Orth 	glycine betaine transport
EG10772	proW	glycine betaine / proline ABC transporter - membrane subunit	characterized	characterized	8.72852723793E-06	1.00	0.75	0.287	0.257	N	N	N	glycine betaine/proline ABC transporter permease	Transport; Transport of small molecules: Amino acids, amines	Glycine betaine/proline ABC transporter permease	Met Orth 	N/A
EG10773	proX	glycine betaine / proline ABC transporter - periplasmic binding protein	characterized	characterized	1.72936894608E-05	1.00	0.681	0.325	0.407	N	N	u	glycine betaine/proline ABC transporter periplasmic binding protein; cold shock protein	Transport; Osmotic adaptation	Glycine betaine/proline ABC transporter periplasmic binding protein; cold shock protein	Met Orth 	N/A
EG10774	prs	ribose-phosphate diphosphokinase	characterized	characterized	0.0001058713	1.00	N.A.	N.A.	N.A.	E	E	u	phosphoribosylpyrophosphate synthase	Enzyme; Purine ribonucleotide biosynthesis	Phosphoribosylpyrophosphate synthase	Met Orth 	5-phosphoribose 1-diphosphate biosynthetic process
EG10775	psd	phosphatidylserine decarboxylase	characterized	characterized	6.38131003996E-05	1.00	N.A.	N.A.	N.A.	X	N	u	phosphatidylserine decarboxylase	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylserine decarboxylase, phospholipid biosynthesis	Met Orth 	phosphatidylethanolamine biosynthetic process
EG10780	pspE	thiosulfate sulfurtransferase	characterized	characterized	0.000012475	1.00	0.685	0.297	0.309	E	N	N	thiosulfate:cyanide sulfurtransferase (rhodanese)	IS, phage, Tn; Phage-related functions and prophages	Rhodanese, thiosulfate:cyanide sulfurtransferase; expressed in response to stress as part of psp operon, but also transcribed independently	Met Orth 	N/A
EG10781	pssA	PssA	characterized	characterized	4.60058840825E-05	1.00	N.A.	N.A.	N.A.	E	E	u	phosphatidylserine synthase; CDP-diacylglycerol-serine O-phosphatidyltransferase	Enzyme; Macromolecule synthesis, modification: Phospholipids	Phosphatidylserine synthase	Met Orth 	N/A
EG10782	pstA	phosphate ABC transporter - membrane subunit	characterized	characterized	4.88325039074E-06	0.91	0.616	0.273	0.441	N	N	N	phosphate ABC transporter permease	Transport; Transport of small molecules: Anions	Phosphate ABC transporter permease	Met Orth 	phosphate ion transmembrane transport
EG10783	pstB	phosphate ABC transporter - ATP binding subunit	characterized	characterized	1.96137000718E-05	1.00	0.853	0.303	0.278	N	N	N	phosphate ABC transporter ATPase	Transport; Transport of small molecules: Anions	Phosphate ABC transporter ATPase	Met Orth 	phosphate ion transmembrane transport
EG10784	pstC	phosphate ABC transporter - membrane subunit	characterized	characterized	4.01083209498E-06	0.66	0.658	0.308	0.299	N	N	u	phosphate ABC transporter permease	Transport; Transport of small molecules: Anions	Phosphate ABC transporter permease	Met Orth 	phosphate ion transport
EG10787	ptsG	glucose PTS permease - PtsG subunit	characterized	characterized	0.0001567178	1.00	0.744	0.348	0.622	N	N	u	fused glucose-specific PTS enzymes: IIB component/IIC component	Transport; Transport of small molecules: Carbohydrates, organic acids, alcohols	Glucose phophotransferase Enzyme IIBC(Glc); glucose permease; dimeric	Met Orth 	glucose transport
EG10788	ptsH	HPr	characterized	characterized	0.0002793893	1.00	0.869	0.066	0.464	N	N	N	phosphohistidinoprotein-hexose phosphotransferase component of PTS system (Hpr)	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	PTS system histidine phosphocarrier protein HPr; phosphohistidinoprotein-hexose phosphotransferase	Met Orth 	positive regulation of glycogen catabolic process
EG10789	ptsI	PtsI	characterized	characterized	0.0002873299	1.00	0.681	0.018	0.107	N	N	N	PEP-protein phosphotransferase of PTS system (enzyme I)	Enzyme; Transport of small molecules: Carbohydrates, organic acids, alcohols	Phosphoenolpyruvate-protein phosphotransferase; phosphotransferase system, enzyme I; E1; PEP-dependent autokinase	Met Orth 	N/A
EG10790	purA	PurA	characterized	characterized	0.0001796347	1.00	0.242	0	0	N	N	u	adenylosuccinate synthetase	Enzyme; Purine ribonucleotide biosynthesis	Adenylosuccinate synthase, purine synthesis	Met Orth 	adenosine biosynthetic process
EG10791	purC	PurC	characterized	characterized	0.0001222016	1.00	0.439	0	0	N	N	N	phosphoribosylaminoimidazole-succinocarboxamide synthetase	Enzyme; Purine ribonucleotide biosynthesis	Phosphoribosyl-aminoimidazole-succinocarboxamide synthase; SAICAR synthase; purine synthesis	Met Orth 	N/A
EG10792	purD	phosphoribosylamine-glycine ligase	characterized	characterized	3.09514904472E-05	1.00	0.538	0.002	0.015	N	N	N	phosphoribosylglycinamide synthetase phosphoribosylamine-glycine ligase	Enzyme; Purine ribonucleotide biosynthesis	Phosphoribosylamine-glycine ligase, purine synthesis; phosphoribosylglycinamide synthase; glycinamide ribonucleotide synthase (GARS)	Met Orth 	purine nucleobase biosynthetic process
EG10793	purE	PurE	characterized	characterized	6.25981605169E-05	1.00	0.496	0	0	N	N	N	N5-carboxyaminoimidazole ribonucleotide mutase	Enzyme; Purine ribonucleotide biosynthesis	N5-carboxyaminoimidazole ribonucleotide (N-CAIR) mutase; purine synthesis	Met Orth 	N/A
EG10794	purF	PurF	characterized	characterized	0.0001044254	1.00	0.566	0.004	0.015	N	N	N	amidophosphoribosyltransferase	Enzyme; Purine ribonucleotide biosynthesis	Amidophosphoribosyltransferase, purine synthesis; also known as glutamine 5'-phosphoribosylpyrophosphate amidotransferase, GPATase	Met Orth 	purine nucleobase biosynthetic process
EG10795	purH	AICAR transformylase / IMP cyclohydrolase	characterized	characterized	5.88623998967E-05	1.00	0.442	0.001	0	N	N	N	IMP cyclohydrolase and phosphoribosylaminoimidazolecarboxamide formyltransferase	Enzyme; Purine ribonucleotide biosynthesis	Phosphoribosylaminoimidazolecarboxamide formyltransferase; purine synthesis	Met Orth 	N/A
EG10796	purK	N5-carboxyaminoimidazole ribonucleotide synthetase monomer	characterized	characterized	8.56295546254E-05	1.00	0.524	0.002	0.013	N	N	N	N5-carboxyaminoimidazole ribonucleotide synthase	Enzyme; Purine ribonucleotide biosynthesis	N5-carboxyaminoimidazole ribonucleotide (N-CAIR) synthase; purine synthesis	Met Orth 	N/A
EG10797	purL	phosphoribosylformylglycinamide synthetase	characterized	characterized	7.87662807103E-05	1.00	0.547	0.005	0.018	N	N	N	phosphoribosylformyl-glycineamide synthetase	Enzyme; Purine ribonucleotide biosynthesis	Phosphoribosylformylglycinamide synthase; contains a synthase domain (N) and a glutamine amidotransferase domain (C)	Met Orth 	N/A
EG10798	purM	PurM	characterized	characterized	0.000051578	1.00	0.526	0.002	0.011	N	N	u	phosphoribosylaminoimidazole synthetase	Enzyme; Purine ribonucleotide biosynthesis	Phosphoribosyl-aminoimidazole (AIR) synthase; homodimeric	Met Orth 	N/A
EG10799	purN	phosphoribosylglycinamide formyltransferase 1	characterized	characterized	4.2819735765E-05	1.00	0.613	0.353	0.371	N	N	u	phosphoribosylglycinamide formyltransferase 1	Enzyme; Purine ribonucleotide biosynthesis	Glycinamide ribonucleotide transformylase (GART) 1, purine synthesis; glycinamide ribonucleotide formyltransferase	Met Orth 	N/A
EG10801	putA	fused PutA transcriptional repressor / proline dehydrogenase / 1-pyrroline-5-carboxylate dehydrogenase	characterized	characterized	1.73553174867E-06	0.59	0.77	0.315	0.357	N	N	u	fused DNA-binding transcriptional regulator/proline dehydrogenase/pyrroline-5-carboxylate dehydrogenase	Enzyme; Degradation of small molecules: Amino acids	Proline dehydrogenase and repressor for the putAP divergon	Met Orth 	proline catabolic process to glutamate
EG10802	putP	proline Na<sup>+</sup> symporter	characterized	characterized	9.37043219328E-06	1.00	0.721	0.279	0.285	N	N	u	proline:sodium symporter	Transport; Transport of small molecules: Cations	Proline/Na+, Li+ symport protein; also transports propionate (Reed, 2006)	Met Orth 	proline transport
